id,code,place_name_id,county_id
3389,8100,2962,18
3390,7067,2963,16
3391,3178,2964,12
3392,8316,2965,19
3393,2211,2966,13
3394,9921,2967,17
3395,7926,2968,2
3396,7362,2969,2
3397,9343,2970,7
3398,9552,2971,17
3399,4803,2972,15
3400,4804,2972,15
3401,4800,2972,15
3402,9744,2973,17
3403,8914,2974,19
3404,9661,2975,17
3405,9674,2976,17
3406,9795,2977,17
3407,6521,2978,1
3408,4502,2979,15
3409,8998,2980,19
3410,9741,2981,17
3411,8245,2982,18
3412,9763,2983,17
3413,9953,2984,17
3414,9747,2985,17
3415,9800,2986,17
3416,8542,2987,18
3417,9748,2988,17
3418,3431,2989,4
3419,7370,2990,2
3420,3265,2991,9
3421,2220,2992,13
3422,5811,2993,3
3423,7838,2994,2
3424,7333,2995,2
3425,4143,2996,8
3426,9726,2997,17
3427,9946,2998,17
3428,2481,2999,6
3429,7951,3000,2
3430,7726,3001,2
3431,9062,3002,7
3432,9751,3003,17
3433,2477,3004,6
3434,2112,3005,13
3435,2621,3006,13
3436,3351,3007,9
3437,2174,3008,13
3438,7752,3009,2
3439,8089,3010,6
3440,8085,3011,6
3441,2859,3012,11
3442,2823,3013,11
3443,2833,3014,11
3444,2837,3015,11
3445,8721,3016,14
3446,9352,3017,7
3447,8412,3018,18
3448,8411,3018,18
3449,8200,3018,18
3450,8248,3019,18
3451,8475,3020,18
3452,8438,3021,18
3453,5530,3022,3
3454,5093,3023,10
3455,8484,3024,18
3456,8294,3025,18
3457,7773,3026,2
3458,7772,3027,2
3459,3891,3028,4
3460,8194,3029,18
3461,3991,3030,4
3462,9535,3031,18
3463,8354,3032,19
3464,8353,3033,19
3465,8355,3034,19
3466,2026,3035,13
3467,2025,3035,13
3468,7533,3036,14
3469,3272,3037,9
3470,3271,3037,9
3471,3956,3038,4
3472,8681,3039,14
3473,9932,3040,17
3474,3825,3041,4
3475,3293,3042,9
3476,9371,3043,7
3477,7588,3044,14
3478,3128,3045,12
3479,3888,3046,4
3480,7768,3047,2
3481,8314,3048,19
3482,8931,3049,19
3483,9462,3050,7
3484,9516,3051,17
3485,8291,3052,18
3486,8711,3053,14
