id,name,county_id
293,Bezi,7
294,Biatorbágy,13
295,Bicsérd,2
296,Bicske,6
297,Bihardancsháza,8
298,Biharkeresztes,8
299,Biharnagybajom,8
300,Bihartorda,8
301,Biharugra,3
302,Bikács,16
303,Bikal,2
304,Biri,15
305,Birján,2
306,Bisse,2
307,B?,17
308,Boba,19
309,Bocfölde,9
310,Boconád,1
311,B?cs,19
312,Bócsa,8
313,Bocska,2
314,Bocskaikert,6
315,Boda,6
316,Bodajk,2
317,Böde,7
318,Bödeháza,9
319,Bodmér,18
320,Bodolyabér,14
321,Bodonhely,4
322,Bodony,4
323,Bodorfa,4
324,Bodrog,4
325,Bodroghalom,4
326,Bodrogkeresztúr,4
327,Bodrogkisfalud,4
328,Bodrogolaszi,4
329,Bódvalenke,2
330,Bódvarákó,2
331,Bódvaszilas,2
332,Bogács,16
333,Bogád,7
334,Bogádmindszent,8
335,Bogdása,19
336,Bögöt,11
337,Bögöte,12
338,Bogyiszló,9
339,Bogyoszló,2
340,Böhönye,4
341,Bojt,4
342,Bókaháza,4
343,Bokod,14
344,Bököny,14
345,Bokor,2
346,Bölcske,19
347,Boldog,14
348,Boldogasszonyfa,16
349,Boldogk?újfalu,16
350,Boldogk?váralja,16
351,Boldva,5
352,Bolhás,17
353,Bolhó,2
354,Bóly,1
355,Boncodfölde,19
356,Bonnya,4
357,B?ny,4
358,Bonyhád,4
359,Bonyhádvarasd,4
360,Börcs,4
361,Bordány,4
362,Borgáta,12
363,Borjád,18
364,Borota,18
365,Borsfa,2
366,Borsodbóta,15
367,Borsodgeszt,2
368,Borsodivánka,17
369,Borsodnádasd,17
370,Borsodszentgyörgy,17
371,Borsodszirák,4
372,Borsosberény,19
373,Borszörcsök,19
374,Borzavár,17
375,Börzönce,17
376,B?sárkány,14
377,Bosta,15
378,B?szénfa,16
379,Botpalád,7
380,Botykapeterd,7
381,Bozsok,19
382,Bózsva,7
383,Bozzai,14
384,Bucsa,3
385,Bucsu,17
386,Bucsuszentlászló,19
387,Bucsuta,19
388,Budajen?,13
389,Budakalász,13
390,Budakeszi,13
391,Budaörs,13
392,Budapest,
393,Bugac,1
394,Bugacpusztaháza,1
395,Bugyi,13
396,Buj,15
397,Buják,12
398,Bük,14
399,Bükkábrány,17
400,Bükkaranyos,4
401,Bükkmogyorósd,4
402,Bükkösd,4
403,Bükkszék,2
404,Bükkszenterzsébet,9
405,Bükkszentkereszt,9
406,Bükkszentmárton,4
407,Bükkzsérc,9
408,Bürüs,4
409,Büssü,2
410,Büttös,14
411,Buzsák,4
412,Cák,17
413,Cakóháza,7
414,Cece,6
415,Cégénydányád,15
416,Cegléd,13
417,Ceglédbercel,13
418,Celldömölk,17
419,Cered,12
420,Chernelházadamonya,17
421,Cibakháza,10
422,Cigánd,4
423,Cikó,16
424,Cirák,7
425,Csabacs?d,3
426,Csabaszabadi,3
427,Csabdi,6
428,Csabrendek,18
429,Csáfordjánosfa,7
430,Csaholc,15
431,Csajág,18
432,Csákány,14
433,Csákánydoroszló,17
434,Csákberény,6
435,Csákvár,6
436,Csanádalberti,5
437,Csanádapáca,3
438,Csanádpalota,5
439,Csánig,17
440,Csány,9
441,Csányoszró,2
442,Csanytelek,5
443,Csapi,19
444,Csapod,7
445,Csárdaszállás,3
446,Csarnóta,2
447,Csaroda,15
448,Császár,11
449,Császártöltés,1
450,Császló,15
451,Csátalja,1
452,Csatár,19
453,Csataszög,10
454,Csatka,11
455,Csávoly,1
456,Csebény,2
457,Csécse,12
458,Csegöld,15
459,Csehbánya,18
460,Csehi,17
461,Csehimindszent,17
462,Csém,11
463,Csem?,13
464,Csempeszkopács,17
465,Csengele,5
466,Csenger,15
467,Csengersima,15
468,Csengerújfalu,15
469,Cseng?d,1
470,Csénye,17
471,Csenyéte,4
472,Csép,11
473,Csépa,10
474,Csepreg,17
475,Csér,7
476,Cserdi,2
477,Cserénfa,14
478,Cserépfalu,4
479,Cserépváralja,4
480,Cserháthaláp,12
481,Cserhátsurány,12
482,Cserhátszentiván,12
483,Cserkesz?l?,10
484,Cserkút,2
485,Csernely,4
486,Cserszegtomaj,19
487,Csertalakos,19
488,Csert?,2
489,Csesznek,18
490,Csesztreg,19
491,Csesztve,12
492,Csetény,18
493,Csévharaszt,13
494,Csibrák,16
495,Csikéria,1
496,Csikóst?tt?s,16
497,Csikvánd,7
498,Csincse,4
499,Csipkerek,17
500,Csitár,12
501,Csobád,4
502,Csobaj,4
503,Csobánka,13
504,Csöde,6
505,Csögle,14
506,Csókak?,4
507,Csökm?,11
508,Csököly,1
509,Csokonyavisonta,14
510,Csokvaomány,13
511,Csolnok,14
512,Csólyospálos,5
513,Csoma,5
514,Csomád,19
515,Csombárd,2
516,Csömend,18
517,Csömödér,6
518,Csömör,7
519,Csönge,3
520,Csongrád,18
521,Csonkahegyhát,18
522,Csonkamindszent,8
523,Csopak,14
524,Csór,14
525,Csorna,19
526,Csörnyeföld,13
527,Csörötnek,17
528,Csorvás,19
529,Cs?sz,17
530,Csót,6
531,Cs?vár,13
532,Csurgó,14
533,Csurgónagymarton,14
534,Cún,2
535,Dabas,13
536,Dabronc,18
537,Dabrony,18
538,Dad,11
539,Dág,11
540,Dáka,18
541,Dalmand,16
542,Damak,4
543,Dámóc,4
544,Dánszentmiklós,13
545,Dány,13
546,Daraboshegy,17
547,Darány,14
548,Darnó,15
549,Darnózseli,7
550,Darvas,8
551,Dávod,1
552,Debercsény,12
553,Debrecen,8
554,Debréte,4
555,Decs,16
556,Dédestapolcsány,4
557,Dég,6
558,Dejtár,12
559,Délegyháza,13
560,Demecser,15
561,Demjén,9
562,Dencsháza,2
563,Dénesfa,7
564,Derecske,8
565,Derekegyház,5
566,Deszk,5
567,Detek,4
568,Detk,9
569,Dévaványa,3
570,Devecser,18
571,Dinnyeberki,2
572,Diósberény,16
573,Diósd,13
574,Diósjen?,12
575,Dióskál,19
576,Diósviszló,2
577,Doba,18
578,Döbörhegy,3
579,Doboz,19
580,Dobri,19
581,Döbröce,5
582,Döbrököz,4
583,Dobronhegy,5
584,Döbrönte,3
585,Dóc,3
586,Döge,16
587,Domaháza,15
588,Domaszék,13
589,Dombegyház,9
590,Dombiratos,9
591,Dombóvár,11
592,Dombrád,12
593,Domony,17
594,Dömös,17
595,Domoszló,19
596,Dömsöd,16
597,Dör,18
598,Dörgicse,15
599,Dormánd,11
600,Dorog,13
601,Dorogháza,7
602,Döröske,18
603,Dötk,17
604,Dövény,19
605,Dozmat,4
606,Drágszél,1
607,Drávacsehi,2
608,Drávacsepely,2
609,Drávafok,2
610,Drávagárdony,14
611,Drávaiványi,2
612,Drávakeresztúr,2
613,Drávapalkonya,2
614,Drávapiski,2
615,Drávaszabolcs,2
616,Drávaszerdahely,2
617,Drávasztára,2
618,Drávatamási,14
619,Drégelypalánk,12
620,Dubicsány,4
621,Dudar,18
622,Duka,17
623,Dunaalmás,11
624,Dunabogdány,13
625,Dunaegyháza,1
626,Dunafalva,1
627,Dunaföldvár,16
628,Dunaharaszti,13
629,Dunakeszi,13
630,Dunakiliti,7
631,Dunapataj,1
632,Dunaremete,7
633,Dunaszeg,7
634,Dunaszekcs?,2
635,Dunaszentbenedek,1
636,Dunaszentgyörgy,16
637,Dunaszentmiklós,11
638,Dunaszentpál,7
639,Dunasziget,7
640,Dunatetétlen,1
641,Dunaújváros,6
642,Dunavarsány,13
643,Dunavecse,1
644,Dusnok,1
645,Dúzs,16
646,Eberg?c,7
647,Ebes,8
648,Écs,7
649,Ecséd,9
650,Ecseg,12
651,Ecsegfalva,3
652,Ecseny,14
653,Ecser,13
654,Edde,14
655,Edelény,4
656,Edve,7
657,Eger,9
658,Egerág,2
659,Egeralja,18
660,Egeraracsa,19
661,Egerbakta,9
662,Egerbocs,9
663,Egercsehi,9
664,Egerfarmos,9
665,Egerlöv?,4
666,Egerszalók,9
667,Égerszög,9
668,Egerszólát,4
669,Egervár,19
670,Egervölgy,17
671,Egyed,7
672,Egyek,8
673,Egyházasdengeleg,12
674,Egyházasfalu,7
675,Egyházasgerge,12
676,Egyházasharaszti,2
677,Egyházashetye,17
678,Egyházashollós,17
679,Egyházaskesz?,18
680,Egyházaskozár,2
681,Egyházasrádóc,17
682,Elek,3
683,Ellend,2
684,El?szállás,6
685,Em?d,4
686,Encs,4
687,Encsencs,15
688,Endrefalva,12
689,Endr?c,2
690,Enese,7
691,Enying,6
692,Eperjes,5
693,Eperjeske,15
694,Eplény,18
695,Epöl,11
696,Ercsi,6
697,Érd,13
698,Erd?bénye,4
699,Erd?horváti,4
700,Erd?kertes,13
701,Erd?kövesd,9
702,Erd?kürt,12
703,Erd?smárok,2
704,Erd?smecske,2
705,Erd?tarcsa,12
706,Erd?telek,9
707,Erk,9
708,Érpatak,15
709,Érsekcsanád,1
710,Érsekhalma,1
711,Érsekvadkert,12
712,Értény,16
713,Erzsébet,2
714,Esztár,8
715,Eszteregnye,19
716,Esztergályhorváti,19
717,Esztergom,11
718,Ete,11
719,Etes,12
720,Etyek,6
721,Fábiánháza,15
722,Fábiánsebestyén,5
723,Fácánkert,16
724,Fadd,16
725,Fáj,4
726,Fajsz,1
727,Fancsal,4
728,Farád,7
729,Farkasgyep?,18
730,Farkaslyuk,4
731,Farmos,13
732,Fazekasboda,2
733,Fedémes,9
734,Fegyvernek,10
735,Fehérgyarmat,15
736,Fehértó,7
737,Fehérvárcsurgó,6
738,Feked,2
739,Feketeerd?,7
740,Felcsút,6
741,Feldebr?,9
742,Felgy?,5
743,Felpéc,7
744,Fels?berecki,4
745,Fels?csatár,17
746,Fels?dobsza,4
747,Fels?egerszeg,2
748,Fels?gagy,4
749,Fels?jánosfa,17
750,Fels?kelecsény,4
751,Fels?lajos,1
752,Fels?marác,17
753,Fels?mocsolád,14
754,Fels?nána,16
755,Fels?nyárád,4
756,Fels?nyék,16
757,Fels?örs,18
758,Fels?páhok,19
759,Fels?pakony,13
760,Fels?petény,12
761,Fels?rajk,19
762,Fels?regmec,4
763,Fels?szenterzsébet,19
764,Fels?szentiván,1
765,Fels?szentmárton,2
766,Fels?szölnök,17
767,Fels?tárkány,9
768,Fels?telekes,4
769,Fels?told,12
770,Fels?vadász,4
771,Fels?zsolca,4
772,Fényeslitke,15
773,Feny?f?,18
774,Ferencszállás,5
775,Fert?boz,7
776,Fert?d,7
777,Fert?endréd,7
778,Fert?homok,7
779,Fert?rákos,7
780,Fert?szentmiklós,7
781,Fert?széplak,7
782,Fiad,14
783,Filkeháza,4
784,Fityeház,19
785,Fokt?,1
786,Földeák,8
787,Földes,14
788,Folyás,4
789,Fonó,14
790,Fony,14
791,F?nyed,5
792,Fonyód,4
793,Forráskút,5
794,Forró,8
795,Fót,14
796,Füle,4
